//0
//Oxygen, 1.045
//Nitrate, 1,1,-2.24,0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	CDOM[ppb]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		868.00	0	2.5380	0	34.5140	0	27.538	0	177.75	0	52.80	0		8	0.03	0	0.000132	0	2.08	0	29.4666	8	27.3836	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		866.00	0	2.5440	0	34.5120	0	27.536	0	177.75	0	52.81	0		8	0.02	0	0.000109	0	2.10	0	29.4664	8	27.3834	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		864.00	0	2.5460	0	34.5110	0	27.535	0	177.86	0	52.85	0		8	0.02	0	0.000111	0	2.11	0	29.4637	8	27.3809	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		862.00	0	2.5490	0	34.5100	0	27.534	0	177.96	0	52.88	0		8	0.02	0	0.000110	0	2.10	0	29.4631	8	27.3803	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		860.00	0	2.5520	0	34.5090	0	27.533	0	178.07	0	52.91	0		8	0.02	0	0.000111	0	2.08	0	29.4624	8	27.3796	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		858.00	0	2.5560	0	34.5080	0	27.532	0	178.28	0	52.98	0		8	0.02	0	0.000109	0	2.11	0	29.4601	8	27.3775	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		856.00	0	2.5610	0	34.5070	0	27.531	0	178.49	0	53.05	0		8	0.02	0	0.000109	0	2.11	0	29.4569	8	27.3745	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		854.00	0	2.5620	0	34.5060	0	27.530	0	178.59	0	53.08	0		8	0.03	0	0.000109	0	2.10	0	29.4571	8	27.3747	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		852.00	0	2.5620	0	34.5060	0	27.530	0	178.70	0	53.11	0	35.14	0	0.02	0	0.000111	0	2.11	0	29.4561	8	27.3737	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		850.00	0	2.5630	0	34.5050	0	27.529	0	178.80	0	53.15	0		8	0.02	0	0.000108	0	2.11	0	29.4564	8	27.3740	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		848.00	0	2.5680	0	34.5050	0	27.528	0	178.90	0	53.18	0		8	0.02	0	0.000112	0	2.11	0	29.4536	8	27.3714	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		846.00	0	2.5700	0	34.5040	0	27.527	0	179.01	0	53.22	0		8	0.02	0	0.000114	0	2.10	0	29.4502	8	27.3682	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		844.00	0	2.5760	0	34.5020	0	27.525	0	179.11	0	53.25	0		8	0.02	0	0.000110	0	2.11	0	29.4494	8	27.3675	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		842.00	0	2.5820	0	34.4990	0	27.522	0	179.43	0	53.35	0		8	0.02	0	0.000126	0	2.10	0	29.4490	8	27.3672	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		840.00	0	2.5860	0	34.4960	0	27.520	0	179.64	0	53.42	0		8	0.02	0	0.000109	0	2.09	0	29.4476	8	27.3658	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		838.00	0	2.5890	0	34.4940	0	27.518	0	179.95	0	53.52	0		8	0.02	0	0.000111	0	2.07	0	29.4467	8	27.3650	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		836.00	0	2.5910	0	34.4920	0	27.516	0	180.16	0	53.58	0		8	0.02	0	0.000110	0	2.07	0	29.4450	8	27.3634	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		834.00	0	2.5890	0	34.4910	0	27.515	0	180.47	0	53.67	0		8	0.02	0	0.000111	0	2.07	0	29.4427	8	27.3613	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		832.00	0	2.5880	0	34.4890	0	27.514	0	180.58	0	53.70	0		8	0.02	0	0.000111	0	2.09	0	29.4423	8	27.3608	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		830.00	0	2.5900	0	34.4880	0	27.513	0	180.79	0	53.77	0		8	0.03	0	0.000110	0	2.09	0	29.4405	8	27.3591	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		828.00	0	2.5930	0	34.4860	0	27.511	0	180.89	0	53.80	0		8	0.02	0	0.000110	0	2.06	0	29.4375	8	27.3563	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		826.00	0	2.5920	0	34.4850	0	27.510	0	180.99	0	53.83	0		8	0.02	0	0.000116	0	2.06	0	29.4380	8	27.3567	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		824.00	0	2.5930	0	34.4840	0	27.509	0	181.20	0	53.89	0		8	0.02	0	0.000114	0	2.05	0	29.4368	8	27.3555	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		822.00	0	2.5950	0	34.4810	0	27.507	0	181.31	0	53.92	0		8	0.03	0	0.000115	0	2.04	0	29.4338	8	27.3527	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		820.00	0	2.5960	0	34.4800	0	27.506	0	181.52	0	53.99	0		8	0.02	0	0.000111	0	2.10	0	29.4340	8	27.3529	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		818.00	0	2.5970	0	34.4790	0	27.505	0	181.62	0	54.02	0		8	0.02	0	0.000112	0	2.04	0	29.4321	8	27.3511	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		816.00	0	2.5980	0	34.4780	0	27.504	0	181.73	0	54.05	0		8	0.02	0	0.000114	0	2.06	0	29.4308	8	27.3499	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		814.00	0	2.6000	0	34.4760	0	27.502	0	181.93	0	54.12	0		8	0.02	0	0.000112	0	2.07	0	29.4275	8	27.3468	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		812.00	0	2.6010	0	34.4740	0	27.501	0	182.04	0	54.15	0		8	0.02	0	0.000110	0	2.06	0	29.4279	8	27.3471	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		810.00	0	2.6030	0	34.4730	0	27.500	0	182.25	0	54.21	0		8	0.02	0	0.000114	0	2.04	0	29.4266	8	27.3459	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		808.00	0	2.6050	0	34.4710	0	27.498	0	182.35	0	54.25	0		8	0.02	0	0.000113	0	2.04	0	29.4244	8	27.3439	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		806.00	0	2.6090	0	34.4700	0	27.497	0	182.56	0	54.31	0		8	0.02	0	0.000122	0	2.07	0	29.4232	8	27.3427	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		804.00	0	2.6130	0	34.4680	0	27.495	0	182.77	0	54.38	0		8	0.02	0	0.000110	0	2.08	0	29.4223	8	27.3419	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		802.00	0	2.6140	0	34.4670	0	27.494	0	182.98	0	54.44	0	35.24	0	0.02	0	0.000112	0	2.07	0	29.4205	8	27.3402	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		800.00	0	2.6150	0	34.4670	0	27.494	0	183.08	0	54.48	0		8	0.02	0	0.000110	0	2.04	0	29.4207	8	27.3403	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		798.00	0	2.6170	0	34.4650	0	27.492	0	183.19	0	54.51	0		8	0.03	0	0.000112	0	2.06	0	29.4183	8	27.3380	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		796.00	0	2.6210	0	34.4620	0	27.489	0	183.40	0	54.58	0		8	0.02	0	0.000113	0	2.07	0	29.4178	8	27.3376	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		794.00	0	2.6230	0	34.4610	0	27.488	0	183.50	0	54.61	0		8	0.02	0	0.000114	0	2.04	0	29.4164	8	27.3362	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		792.00	0	2.6270	0	34.4600	0	27.487	0	183.71	0	54.68	0		8	0.03	0	0.000123	0	2.07	0	29.4155	8	27.3354	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		790.00	0	2.6310	0	34.4600	0	27.487	0	183.82	0	54.71	0		8	0.02	0	0.000113	0	2.03	0	29.4119	8	27.3321	8
