//0																															
//Oxygen, 1.02
//Nitrate, 1,1,-0.25,0
//pH, 1, -0.15, 0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	CDOM[ppb]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
0511SoOcn	1	C	12/18/2014	16:32				790	0	0.566	0	34.682	0	27.817	0	211.65	0	59.85	0		8	0.02	0	0.000098	0	2.42	0	7.9100	0	7.6080	0
0511SoOcn	1	C	12/18/2014	16:32				788	0	0.566	0	34.682	0	27.817	0	211.65	0	59.85	0		8	0.02	0	0.000097	0	2.41	0	7.9101	0	7.6080	0
0511SoOcn	1	C	12/18/2014	16:32				786	0	0.566	0	34.682	0	27.817	0	211.65	0	59.85	0		8	0.02	0	0.000096	0	2.41	0	7.9099	0	7.6078	0
0511SoOcn	1	C	12/18/2014	16:32				784	0	0.568	0	34.682	0	27.817	0	211.65	0	59.86	0		8	0.02	0	0.000096	0	2.4	0	7.9104	0	7.6082	0
0511SoOcn	1	C	12/18/2014	16:32				782	0	0.569	0	34.682	0	27.817	0	211.55	0	59.83	0		8	0.03	0	0.000097	0	2.42	0	7.9109	0	7.6086	0
0511SoOcn	1	C	12/18/2014	16:32				780	0	0.57	0	34.682	0	27.817	0	211.65	0	59.86	0		8	0.02	0	0.000096	0	2.39	0	7.9109	0	7.6085	0
0511SoOcn	1	C	12/18/2014	16:32				778	0	0.571	0	34.682	0	27.817	0	211.55	0	59.83	0		8	0.02	0	0.000097	0	2.41	0	7.9110	0	7.6086	0
0511SoOcn	1	C	12/18/2014	16:32				776	0	0.571	0	34.682	0	27.817	0	211.55	0	59.83	0		8	0.02	0	0.000096	0	2.42	0	7.9116	0	7.6091	0
0511SoOcn	1	C	12/18/2014	16:32				774	0	0.572	0	34.682	0	27.817	0	211.55	0	59.83	0		8	0.02	0	0.000098	0	2.41	0	7.9112	0	7.6087	0
0511SoOcn	1	C	12/18/2014	16:32				772	0	0.573	0	34.682	0	27.817	0	211.45	0	59.81	0		8	0.02	0	0.000096	0	2.44	0	7.9111	0	7.6085	0
0511SoOcn	1	C	12/18/2014	16:32				770	0	0.574	0	34.682	0	27.817	0	211.55	0	59.84	0		8	0.02	0	0.000096	0	2.42	0	7.9111	0	7.6084	0
0511SoOcn	1	C	12/18/2014	16:32				768	0	0.575	0	34.682	0	27.817	0	211.45	0	59.81	0		8	0.02	0	0.000096	0	2.4	0	7.9107	0	7.6080	0
0511SoOcn	1	C	12/18/2014	16:32				766	0	0.576	0	34.682	0	27.817	0	211.45	0	59.81	0		8	0.02	0	0.000098	0	2.42	0	7.9108	0	7.6081	0
0511SoOcn	1	C	12/18/2014	16:32				764	0	0.576	0	34.682	0	27.817	0	211.34	0	59.78	0		8	0.03	0	0.000097	0	2.4	0	7.9105	0	7.6077	0
