//0
//Oxygen, 1.045
//Nitrate, 1, 1, 0,0,
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	CDOM[ppb]	QF
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		880.00	0	4.0250	0	34.4490	0	27.345	0	188.10	0	57.95	0		8	0.02	0	0.000140	0	2.13	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		878.00	0	4.0350	0	34.4480	0	27.344	0	188.00	0	57.93	0		8	0.03	0	0.000139	0	2.11	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		876.00	0	4.0420	0	34.4480	0	27.343	0	188.00	0	57.94	0		8	0.02	0	0.000142	0	2.10	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		874.00	0	4.0390	0	34.4480	0	27.343	0	188.20	0	58.00	0		8	0.02	0	0.000143	0	2.07	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		872.00	0	4.0310	0	34.4470	0	27.343	0	188.41	0	58.05	0		8	0.02	0	0.000144	0	2.15	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		870.00	0	4.0240	0	34.4460	0	27.343	0	188.52	0	58.07	0		8	0.02	0	0.000140	0	2.05	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		868.00	0	4.0530	0	34.4480	0	27.342	0	188.52	0	58.11	0		8	0.02	0	0.000141	0	2.10	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		866.00	0	4.0570	0	34.4480	0	27.341	0	188.52	0	58.12	0		8	0.02	0	0.000140	0	2.11	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		864.00	0	4.0600	0	34.4470	0	27.340	0	188.52	0	58.12	0		8	0.02	0	0.000143	0	2.09	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		862.00	0	4.0650	0	34.4450	0	27.338	0	188.62	0	58.16	0		8	0.02	0	0.000143	0	2.13	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		860.00	0	4.0710	0	34.4450	0	27.337	0	188.73	0	58.20	0		8	0.02	0	0.000148	0	2.13	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		858.00	0	4.0730	0	34.4450	0	27.337	0	188.83	0	58.24	0		8	0.01	0	0.000142	0	2.15	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		856.00	0	4.0750	0	34.4450	0	27.337	0	188.94	0	58.27	0		8	0.02	0	0.000147	0	2.10	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		854.00	0	4.0810	0	34.4450	0	27.336	0	188.94	0	58.28	0		8	0.02	0	0.000162	0	2.10	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		851.90	0	4.0850	0	34.4450	0	27.336	0	188.94	0	58.29	0	33.70	0	0.02	0	0.000140	0	2.06	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		850.00	0	4.0860	0	34.4450	0	27.336	0	188.94	0	58.29	0		8	0.02	0	0.000139	0	2.08	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		848.00	0	4.0930	0	34.4450	0	27.335	0	189.04	0	58.33	0		8	0.02	0	0.000139	0	2.13	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		846.00	0	4.0980	0	34.4440	0	27.334	0	189.04	0	58.34	0		8	0.02	0	0.000142	0	2.10	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		844.00	0	4.1050	0	34.4450	0	27.334	0	189.15	0	58.38	0		8	0.02	0	0.000143	0	2.07	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		842.00	0	4.1130	0	34.4440	0	27.332	0	189.04	0	58.36	0		8	0.02	0	0.000141	0	2.13	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		840.00	0	4.1240	0	34.4420	0	27.329	0	189.25	0	58.44	0		8	0.02	0	0.000142	0	2.15	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		838.00	0	4.1370	0	34.4410	0	27.327	0	189.46	0	58.52	0		8	0.02	0	0.000143	0	2.07	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		836.00	0	4.1580	0	34.4400	0	27.324	0	189.67	0	58.61	0		8	0.03	0	0.000143	0	2.06	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		834.00	0	4.1700	0	34.4400	0	27.323	0	189.88	0	58.70	0		8	0.02	0	0.000150	0	2.06	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		832.00	0	4.1760	0	34.4400	0	27.322	0	189.98	0	58.74	0		8	0.02	0	0.000143	0	2.10	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		830.00	0	4.1820	0	34.4400	0	27.322	0	190.09	0	58.78	0		8	0.02	0	0.000207	0	2.09	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		828.00	0	4.1870	0	34.4400	0	27.321	0	190.19	0	58.82	0		8	0.02	0	0.000145	0	2.08	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		826.00	0	4.1910	0	34.4390	0	27.320	0	190.29	0	58.86	0		8	0.02	0	0.000143	0	2.10	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		824.00	0	4.1920	0	34.4390	0	27.320	0	190.29	0	58.86	0		8	0.02	0	0.000144	0	2.08	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		822.00	0	4.1950	0	34.4390	0	27.320	0	190.40	0	58.89	0		8	0.02	0	0.000140	0	2.09	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		820.00	0	4.1990	0	34.4380	0	27.318	0	190.50	0	58.93	0		8	0.02	0	0.000143	0	2.10	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		818.00	0	4.1970	0	34.4340	0	27.315	0	190.82	0	59.02	0		8	0.02	0	0.000141	0	2.08	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		816.00	0	4.2000	0	34.4320	0	27.313	0	191.34	0	59.19	0		8	0.02	0	0.000140	0	2.08	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		814.00	0	4.2030	0	34.4330	0	27.314	0	191.65	0	59.29	0		8	0.02	0	0.000138	0	2.10	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		812.00	0	4.2140	0	34.4320	0	27.312	0	191.86	0	59.37	0		8	0.02	0	0.000145	0	2.05	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		810.00	0	4.2200	0	34.4320	0	27.311	0	191.97	0	59.41	0		8	0.02	0	0.000143	0	2.07	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		808.00	0	4.2230	0	34.4320	0	27.311	0	192.07	0	59.45	0		8	0.02	0	0.000149	0	2.08	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		806.00	0	4.2250	0	34.4310	0	27.310	0	192.18	0	59.48	0		8	0.02	0	0.000139	0	2.09	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		804.00	0	4.2280	0	34.4300	0	27.309	0	192.38	0	59.55	0		8	0.02	0	0.000152	0	2.05	0
